serial ,build date,mfg location,lot number,QR Data
K035,Jul-25,SJ,1,https://QR.looma.education?serial=K035&date=July 2025&location=SJ&lot=1

K036,Jul-25,SJ,1,https://QR.looma.education?serial=K036&date=July 2025&location=SJ&lot=1

K036,Jul-25,SJ,1,https://QR.looma.education?serial=K036&date=July 2025&location=SJ&lot=1

K036,Jul-25,SJ,1,https://QR.looma.education?serial=K036&date=July 2025&location=SJ&lot=1

K037,Jul-25,SJ,1,https://QR.looma.education?serial=K037&date=July 2025&location=SJ&lot=1

K037,Jul-25,SJ,1,https://QR.looma.education?serial=K037&date=July 2025&location=SJ&lot=1

K037,Jul-25,SJ,1,https://QR.looma.education?serial=K037&date=July 2025&location=SJ&lot=1

K038,Jul-25,SJ,1,https://QR.looma.education?serial=K038&date=July 2025&location=SJ&lot=1

K038,Jul-25,SJ,1,https://QR.looma.education?serial=K038&date=July 2025&location=SJ&lot=1

K038,Jul-25,SJ,1,https://QR.looma.education?serial=K038&date=July 2025&location=SJ&lot=1

K039,Jul-25,SJ,1,https://QR.looma.education?serial=K039&date=July 2025&location=SJ&lot=1

K039,Jul-25,SJ,1,https://QR.looma.education?serial=K039&date=July 2025&location=SJ&lot=1

K039,Jul-25,SJ,1,https://QR.looma.education?serial=K039&date=July 2025&location=SJ&lot=1

K040,Jul-25,SJ,1,https://QR.looma.education?serial=K040&date=July 2025&location=SJ&lot=1

K040,Jul-25,SJ,1,https://QR.looma.education?serial=K040&date=July 2025&location=SJ&lot=1

K040,Jul-25,SJ,1,https://QR.looma.education?serial=K040&date=July 2025&location=SJ&lot=1

K041,Jul-25,SJ,1,https://QR.looma.education?serial=K041&date=July 2025&location=SJ&lot=1

K041,Jul-25,SJ,1,https://QR.looma.education?serial=K041&date=July 2025&location=SJ&lot=1

K041,Jul-25,SJ,1,https://QR.looma.education?serial=K041&date=July 2025&location=SJ&lot=1

K042,Jul-25,SJ,1,https://QR.looma.education?serial=K042&date=July 2025&location=SJ&lot=1

K042,Jul-25,SJ,1,https://QR.looma.education?serial=K042&date=July 2025&location=SJ&lot=1

K042,Jul-25,SJ,1,https://QR.looma.education?serial=K042&date=July 2025&location=SJ&lot=1

K043,Jul-25,SJ,1,https://QR.looma.education?serial=K043&date=July 2025&location=SJ&lot=1

K043,Jul-25,SJ,1,https://QR.looma.education?serial=K043&date=July 2025&location=SJ&lot=1

K043,Jul-25,SJ,1,https://QR.looma.education?serial=K043&date=July 2025&location=SJ&lot=1

K044,Jul-25,SJ,1,https://QR.looma.education?serial=K044&date=July 2025&location=SJ&lot=1

K044,Jul-25,SJ,1,https://QR.looma.education?serial=K044&date=July 2025&location=SJ&lot=1

K044,Jul-25,SJ,1,https://QR.looma.education?serial=K044&date=July 2025&location=SJ&lot=1

K045,Jul-25,SJ,1,https://QR.looma.education?serial=K045&date=July 2025&location=SJ&lot=1

K045,Jul-25,SJ,1,https://QR.looma.education?serial=K045&date=July 2025&location=SJ&lot=1

K045,Jul-25,SJ,1,https://QR.looma.education?serial=K045&date=July 2025&location=SJ&lot=1

K046,Jul-25,SJ,1,https://QR.looma.education?serial=K046&date=July 2025&location=SJ&lot=1

K046,Jul-25,SJ,1,https://QR.looma.education?serial=K046&date=July 2025&location=SJ&lot=1

K046,Jul-25,SJ,1,https://QR.looma.education?serial=K046&date=July 2025&location=SJ&lot=1

K047,Jul-25,SJ,1,https://QR.looma.education?serial=K047&date=July 2025&location=SJ&lot=1

K047,Jul-25,SJ,1,https://QR.looma.education?serial=K047&date=July 2025&location=SJ&lot=1

K047,Jul-25,SJ,1,https://QR.looma.education?serial=K047&date=July 2025&location=SJ&lot=1

K048,Jul-25,SJ,1,https://QR.looma.education?serial=K048&date=July 2025&location=SJ&lot=1

K048,Jul-25,SJ,1,https://QR.looma.education?serial=K048&date=July 2025&location=SJ&lot=1

K048,Jul-25,SJ,1,https://QR.looma.education?serial=K048&date=July 2025&location=SJ&lot=1

K049,Jul-25,SJ,1,https://QR.looma.education?serial=K049&date=July 2025&location=SJ&lot=1

K049,Jul-25,SJ,1,https://QR.looma.education?serial=K049&date=July 2025&location=SJ&lot=1

K049,Jul-25,SJ,1,https://QR.looma.education?serial=K049&date=July 2025&location=SJ&lot=1
